,words,repeated
0,aoorg Hi,0
1,Hi Thank,0
2,Thank you,0
3,you for,3
4,for understanding,0
5,understanding If,0
6,If you,0
7,you can,7
8,can buy,2
9,buy ebooks,1
10,ebooks through,1
11,through Amazon,0
12,Amazon you,0
13,can find,1
14,find the,1
15,the book,303
16,book the,33
17,the thief,30
18,thief plagiarized,1
19,plagiarized and,0
20,and others,0
21,others there,0
22,there Otherwise,0
23,Otherwise reach,0
24,reach out,1
25,out to,2
26,to me,2
27,me by,2
28,by DM,0
29,DM and,0
30,and we,2
31,we can,4
32,can discuss,1
33,discuss it,0
34,Amz Universal,0
35,Universal httpstcoTMDNDKAvkX,0
36,Amz US,0
37,US httpstcohJtDkFJkWI,0
38,CatLebowski Jeg,0
39,Jeg mener,0
40,mener at,0
41,at jeg,1
42,jeg bla,0
43,bla anbefalede,0
44,anbefalede The,0
45,The Book,0
46,Book Thief,0
47,Thief Markus,0
48,Markus Zusak,0
49,Zusak The,0
50,The Gargoyle,0
51,Gargoyle Andrew,0
52,Andrew Davidson,0
53,Davidson The,0
54,The curious,0
55,curious incident,1
56,incident of,1
57,of the,109
58,the dog,1
59,dog in,1
60,in the,130
61,the night,3
62,night time,0
63,time Mark,0
64,Mark Haddon,0
65,Haddon og,0
66,og The,0
67,The Martian,0
68,Martian Andy,0
69,Andy Weir,0
70,Alle fire,0
71,fire er,1
72,er helt,1
73,helt vidunderlige,0
74,LibrarylinM The,0
75,The book,0
76,book thief,155
77,thief I,0
78,I guess,0
79,At this,0
80,this weekend,61
81,weekend I,0
82,I plan,0
83,plan to,62
84,to watch,62
85,watch Crime,0
86,Crime Dramas,0
87,Dramas and,0
88,and I,0
89,I called,0
90,called my,61
91,my weekend,61
92,weekend plan,122
93,plan LineofDuty,0
94,LineofDuty Korn,0
95,Korn because,0
96,because this,62
97,plan also,61
98,also has,61
99,has ltThe,0
100,ltThe Book,0
101,Book Thiefgt,0
102,Thiefgt and,0
103,and listen,44
104,listen to,44
105,to Korn,0
106,Korn s,0
107,s songs,0
108,songs In,0
109,In the,0
110,the end,5
111,end I,0
112,I will,0
113,will go,39
114,go to,49
115,to Venice,0
116,Venice in,0
117,the evening,0
118,Asking whats,0
119,whats favourite,0
120,favourite book,1
121,book to,19
122,to book,4
123,book dragon,1
124,dragon is,1
125,is just,1
126,just you,1
127,you know,1
128,know you,2
129,you need,2
130,need to,5
131,to be,12
132,be ready,1
133,ready because,1
134,because it,3
135,it would,3
136,would never,6
137,never only,1
138,only one,1
139,one book,1
140,book Here,0
141,Here some,0
142,some of,8
143,of mine,0
144,Harry Potter,0
145,A Little,0
146,Little Princess,0
147,Princess httpstcoCQqtra,0
148,The newest,0
149,newest book,1
150,book review,3
151,review is,2
152,is now,3
153,now up,1
154,up on,1
155,on the,17
156,the website,0
157,website Follow,0
158,Follow the,0
159,the link,1
160,link to,1
161,to read,21
162,read my,1
163,my review,1
164,review of,3
165,of The,0
166,The Child,0
167,Child Thief,0
168,Thief written,0
169,written by,1
170,by Brom,0
171,bookreview author,0
172,author art,0
173,art mondaythoughts,0
174,mondaythoughts writer,0
175,writer readers,0
176,readers readingcommunity,0
177,readingcommunity readerscommunity,0
178,readerscommunity books,0
179,books bookreviews,0
180,bookreviews Website,0
181,Website httpstcoYvGblQET,0
182,watch Sports,0
183,Sports amp,0
184,amp Fitness,0
185,Fitness type,0
186,type of,39
187,of moviethen,0
188,moviethen I,0
189,will read,39
190,read a,43
191,a book,63
192,book named,39
193,named ltThe,0
194,to The,0
195,The Beatles,0
196,Beatles and,0
197,plan Country,0
198,Country Greece,0
199,Greece because,0
200,has Santorini,0
201,Santorini in,0
202,neonocturn speaking,1
203,speaking of,1
204,of hows,0
205,hows the,0
206,thief going,0
207,watch Action,0
208,Action Thrillers,0
209,Thrillers type,0
210,plan Historical,0
211,Historical MaryChain,0
212,MaryChain because,0
213,has The,0
214,The Jesus,0
215,Jesus and,0
216,and Mary,0
217,Mary Chain,0
218,Chain s,0
219,to Snake,0
220,Snake Island,0
221,Island at,0
222,at night,1
223,shuvashisdasbd Immortals,0
224,Immortals guard,0
225,guard us,17
226,us when,17
227,when we,18
228,we dream,12
229,Dream thieves,0
230,thieves watch,17
231,watch over,17
232,over the,19
233,the unconscious,17
234,unconscious wanderings,17
235,wanderings of,17
236,the human,17
237,human mind,0
238,mind plucking,0
239,plucking out,17
240,out the,18
241,the most,21
242,most dangerous,17
243,dangerous dreams,17
244,dreams before,17
245,before they,18
246,they can,18
247,can turn,12
248,turn us,17
249,us into,17
250,into monsters,0
251,ebooks books,0
252,books kindleunlimited,0
253,kindleunlimited writingcommunity,0
254,lrettell readers,0
255,TheGiftOfLife Immortals,0
256,watch Comedies,0
257,Comedies and,0
258,plan Comedy,0
259,Comedy travelIntheair,0
260,travelIntheair because,0
261,The Fin,0
262,Fin s,0
263,to WorldÂÂs,0
264,WorldÂÂs Tallest,0
265,Tallest Glass,0
266,Glass Bottomed,0
267,Bottomed Bridge,0
268,Bridge in,0
269,the morning,0
270,debbiemacomber The,0
